plot_ID,date_work,weed_remain_gndvi(%),weed_remain_gndvi_SD,weed_after_dm(g/m2),weed_after_dm_SD,weed_before_gndvi(%),weed_before_gndvi_SD,weed_before_dm(g/m2),weed_before_dm_SD,soy_cover_mean(%),soy_cover_SD,rain_1day(mm),rain_3day(mm),rain_7day(mm),sun_time_1day(h),sun_time_3day(h),sun_time_7day(h),sun_enagy_1day(MJ/m2),sun_enagy_3day(MJ/m2),sun_enagy_7day(MJ/m2),temp_avg(℃）,after_sowing _temp(℃）,Until_culti_temp(℃）,hum_avg（％）,air_speed_avg(m/s),soil_texture,ClayContent,Drainage,green_manure,work speed(m/s),work rate(h/ha),culti_type,mold_boad,row_space(m)
T3R,7月5日,8.09,1.09,,,10.00,2.73,,,23.92,6.684,1.2,3.2,5.2,4.28879,17.693598,42.957171,16.7267,55.4266,135.3207,26.6904,583.8055,185.1757,81.1381,1.83852,gray lowland soil,heavy clay,ON,mix,0.6660043,1.853693533,Rotaly,OFF,0.7564
T4,7月5日,12.82,3.41,8.99,5.05,39.21,9.95,13.00,6.423457013,15.21,3.526,1.2,3.2,5.2,4.28879,17.693598,42.957171,16.7267,55.4266,135.3207,26.6904,583.8055,185.1757,81.1381,1.83852,gray lowland soil,heavy clay,ON,no,0.6535575,1.888996629,Rotaly,OFF,0.784822222
T5,7月5日,11.96,3.36,23.59,24.67,27.50,6.84,49.85,48.23,19.87,5.385,1.2,3.2,5.2,4.28879,17.693598,42.957171,16.7267,55.4266,135.3207,26.6904,583.8055,185.1757,81.1381,1.83852,gray lowland soil,heavy clay,ON,no,0.6795868,1.816644833,Rotaly,OFF,0.770933333
T5H,7月5日,23.81,2.62,,,46.02,3.59,,,18.93,1.253,1.2,3.2,5.2,4.28879,17.693598,42.957171,16.7267,55.4266,135.3207,26.6904,583.8055,185.1757,81.1381,1.83852,gray lowland soil,heavy clay,ON,no,0.6795868,1.816644833,Rotaly,OFF,0.7844
T1,7月14日,9.15,3.96,26.15,13.76,19.64,6.31,44.71,18.15,35.93,6.866,0,0,0,14.0199,35.6876,64.85959,31.4238,78.8309,162.6984,27.4753,786.1685,202.363,70.3787,3.99556,gray lowland soil,heavy clay,ON,barley,2.141896369,0.432292589,tine,On,0.752155556
T2,7月14日,9.19,3.00,129.25,87.19,25.69,9.89,125.72,70.59,63.84,11.503,0,0,0,14.0199,35.6876,64.85959,31.4238,78.8309,162.6984,27.4753,786.1685,202.363,70.3787,3.99556,gray lowland soil,heavy clay,ON,hairy vetch,1.893648979,0.488963866,tine,On,0.750977778
T3,7月14日,12.01,5.33,71.23,37.53,24.16,7.56,72.49,28.02,50.31,17.735,0,0,0,14.0199,35.6876,64.85959,31.4238,78.8309,162.6984,27.4753,786.1685,202.363,70.3787,3.99556,gray lowland soil,heavy clay,ON,mix,2.401344769,0.385586417,tine,On,0.760533333
T3R,7月14日,11.44,4.89,,,28.13,7.60,,,52.24,18.492,0,0,0,14.0199,35.6876,64.85959,31.4238,78.8309,162.6984,27.4753,786.1685,202.363,70.3787,3.99556,gray lowland soil,heavy clay,ON,mix,1.943007992,0.635390027,Rotaly,On,0.7564
T4,7月14日,10.10,4.49,80.24,68.29,30.52,12.93,132.25,32.22784717,27.58,6.935,0,0,0,14.0199,35.6876,64.85959,31.4238,78.8309,162.6984,27.4753,786.1685,202.363,70.3787,3.99556,gray lowland soil,heavy clay,ON,no,1.873707906,0.658890266,Rotaly,On,0.784822222
T5,7月14日,7.87,3.37,66.55,69.47,41.59,11.76,164.00,166.78,32.15,8.788,0,0,0,14.0199,35.6876,64.85959,31.4238,78.8309,162.6984,27.4753,786.1685,202.363,70.3787,3.99556,gray lowland soil,heavy clay,ON,no,1.913522438,0.645180781,Rotaly,On,0.770933333
T5H,7月14日,8.05,3.86,,,34.78,8.46,,,23.44,3.050,0,0,0,14.0199,35.6876,64.85959,31.4238,78.8309,162.6984,27.4753,786.1685,202.363,70.3787,3.99556,gray lowland soil,heavy clay,ON,no,1.913522438,0.645180781,Rotaly,On,0.7844
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
